"Date","Price","Open","High","Low","Change %"
"08/19/2024","3.9110","3.9100","3.9220","3.8580","-0.08%"
"08/16/2024","3.9140","3.9220","3.9560","3.8510","3.14%"
"08/15/2024","3.7950","3.7860","3.9620","3.7700","0.00%"
"08/14/2024","3.7950","3.7680","3.8465","3.7330","-0.03%"
"08/13/2024","3.7960","3.8450","3.8816","3.7610","-1.86%"
"08/12/2024","3.8680","3.9020","3.9453","3.8350","-1.28%"
"08/09/2024","3.9180","3.9190","3.9280","3.8510","0.93%"
"08/08/2024","3.8820","3.8340","3.9530","3.7750","0.00%"
"08/07/2024","3.8820","3.8360","3.9160","3.8178","1.04%"
"08/06/2024","3.8420","3.7630","3.8790","3.7530","2.24%"
"08/05/2024","3.7580","3.7285","3.8110","3.5400","0.16%"
"08/02/2024","3.7520","3.9900","4.0240","3.7150","-10.39%"
"08/01/2024","4.1869","4.0920","4.1532","3.9800","0.00%"
"07/31/2024","4.1869","4.2130","4.2568","4.0890","-0.24%"
"07/30/2024","4.1970","4.2330","4.2701","4.1840","-0.57%"
"07/29/2024","4.2210","4.2508","4.2620","4.1940","-0.82%"
"07/26/2024","4.2560","4.2820","4.3377","4.2200","-1.12%"
"07/25/2024","4.3040","4.2920","4.3180","4.1870","0.00%"
"07/24/2024","4.3040","4.3350","4.3350","4.2470","-0.42%"
"07/23/2024","4.3220","4.3530","4.3565","4.3050","-0.76%"
"07/22/2024","4.3550","4.3210","4.3770","4.3050","0.28%"
"07/19/2024","4.3430","4.2970","4.3540","4.2700","1.87%"
"07/18/2024","4.2634","4.2730","4.3120","4.2440","0.00%"
"07/17/2024","4.2634","4.2630","4.3130","4.2440","-0.39%"
"07/16/2024","4.2800","4.2920","4.3120","4.2228","-0.26%"
"07/15/2024","4.2912","4.2854","4.3207","4.2559","-0.13%"
"07/12/2024","4.2970","4.3410","4.3616","4.2817","-3.78%"
"07/11/2024","4.4660","4.4590","4.4744","4.3036","0.00%"
"07/10/2024","4.4660","4.4730","4.4788","4.4340","-0.08%"
"07/09/2024","4.4696","4.4770","4.4990","4.4430","0.24%"
"07/08/2024","4.4590","4.4577","4.4920","4.4320","-2.25%"
"07/05/2024","4.5617","4.5617","4.5804","4.4452","0.00%"
"07/04/2024","4.5617","4.5617","4.5797","4.5617","0.00%"
"07/03/2024","4.5617","4.6160","4.6450","4.5304","-1.20%"
"07/02/2024","4.6170","4.6500","4.6500","4.5854","-0.86%"
"07/01/2024","4.6570","4.5820","4.6730","4.5630","1.84%"
"06/28/2024","4.5730","4.5700","4.6220","4.5201","0.00%"
"06/27/2024","4.5730","4.6110","4.6290","4.5524","-0.70%"
"06/26/2024","4.6054","4.5530","4.6180","4.5310","1.51%"
"06/25/2024","4.5370","4.5260","4.5570","4.4990","0.04%"
"06/24/2024","4.5350","4.5331","4.5570","4.5030","-0.15%"
"06/21/2024","4.5420","4.5530","4.5613","4.4960","0.00%"
"06/20/2024","4.5420","4.5390","4.5780","4.5103","0.49%"
"06/19/2024","4.5200","4.5390","4.5281","4.5130","0.00%"
"06/18/2024","4.5200","4.5850","4.6032","4.4935","-1.29%"
"06/17/2024","4.5790","4.5313","4.5900","4.4950","1.33%"
"06/14/2024","4.5190","4.5130","4.5507","4.4470","0.00%"
"06/13/2024","4.5190","4.6060","4.6235","4.5000","-1.72%"
"06/12/2024","4.5980","4.7050","4.7100","4.5313","-2.32%"
"06/11/2024","4.7070","4.7570","4.7595","4.6959","-1.11%"
"06/10/2024","4.7600","4.7340","4.7693","4.7180","3.68%"
"06/07/2024","4.5910","4.5950","4.7596","4.5700","0.00%"
"06/06/2024","4.5910","4.6080","4.6297","4.5750","-0.52%"
"06/05/2024","4.6150","4.6520","4.6792","4.5974","-0.84%"
"06/04/2024","4.6540","4.7130","4.7225","4.6290","-1.27%"
"06/03/2024","4.7140","4.7741","4.7907","4.7009","-2.84%"
"05/31/2024","4.8520","4.8390","4.8689","4.7731","0.00%"
"05/30/2024","4.8520","4.8970","4.9025","4.8379","-1.12%"
"05/29/2024","4.9070","4.8770","4.9191","4.8370","0.72%"
"05/28/2024","4.8720","4.8250","4.8820","4.7861","0.89%"
"05/27/2024","4.8290","4.8250","4.8297","4.8170","0.00%"
"05/24/2024","4.8290","4.8290","4.8600","4.8131","0.00%"
"05/23/2024","4.8290","4.7710","4.8510","4.7200","1.19%"
"05/22/2024","4.7720","4.7330","4.7810","4.7000","0.76%"
"05/21/2024","4.7360","4.7570","4.7600","4.7030","-0.21%"
"05/20/2024","4.7460","4.7218","4.7640","4.6960","1.15%"
"05/17/2024","4.6921","4.6750","4.7410","4.6530","0.00%"
"05/16/2024","4.6921","4.6350","4.7060","4.5850","0.91%"
"05/15/2024","4.6500","4.7410","4.7603","4.6307","-1.97%"
"05/14/2024","4.7435","4.7890","4.8336","4.7390","-0.85%"
"05/13/2024","4.7842","4.7920","4.7950","4.7538","0.92%"
"05/10/2024","4.7404","4.7570","4.8070","4.7170","0.00%"
"05/09/2024","4.7404","4.7785","4.7985","4.7355","-0.81%"
"05/08/2024","4.7790","4.7620","4.7860","4.7330","0.50%"
"05/07/2024","4.7550","4.7680","4.7715","4.7100","-0.03%"
"05/06/2024","4.7562","4.7663","4.7700","4.7217","-1.83%"
"05/03/2024","4.8450","4.8550","4.8551","4.6695","0.00%"
"05/02/2024","4.8450","4.9310","4.9465","4.8347","-1.16%"
"05/01/2024","4.9020","4.9980","5.0150","4.8817","-2.02%"
"04/30/2024","5.0030","4.9250","5.0090","4.8970","1.42%"
"04/29/2024","4.9331","4.9600","4.9600","4.9050","-0.56%"
